Episode 250/1000 - Epsilon: 0.0100, Overall Total Reward: 905
Episode 251/1000 - Epsilon: 0.0100, Overall Total Reward: 905
Episode 252/1000 - Epsilon: 0.0100, Overall Total Reward: 775
Episode 253/1000 - Epsilon: 0.0100, Overall Total Reward: 1410
Episode 254/1000 - Epsilon: 0.0100, Overall Total Reward: 855
Episode 255/1000 - Epsilon: 0.0100, Overall Total Reward: 745
Episode 256/1000 - Epsilon: 0.0100, Overall Total Reward: 915
Episode 257/1000 - Epsilon: 0.0100, Overall Total Reward: 1095
Episode 258/1000 - Epsilon: 0.0100, Overall Total Reward: 630
Episode 259/1000 - Epsilon: 0.0100, Overall Total Reward: 455
Episode 260/1000 - Epsilon: 0.0100, Overall Total Reward: 580
Episode 261/1000 - Epsilon: 0.0100, Overall Total Reward: 1050
Episode 262/1000 - Epsilon: 0.0100, Overall Total Reward: 930
Episode 263/1000 - Epsilon: 0.0100, Overall Total Reward: 945
Episode 264/1000 - Epsilon: 0.0100, Overall Total Reward: 965
Episode 265/1000 - Epsilon: 0.0100, Overall Total Reward: 925
Episode 266/1000 - Epsilon: 0.0100, Overall Total Reward: 1075
Episode 267/1000 - Epsilon: 0.0100, Overall Total Reward: 535
Episode 268/1000 - Epsilon: 0.0100, Overall Total Reward: 835
Episode 269/1000 - Epsilon: 0.0100, Overall Total Reward: 685
Episode 270/1000 - Epsilon: 0.0100, Overall Total Reward: 835
Episode 271/1000 - Epsilon: 0.0100, Overall Total Reward: 740
Episode 272/1000 - Epsilon: 0.0100, Overall Total Reward: 1000
Episode 273/1000 - Epsilon: 0.0100, Overall Total Reward: 700
Episode 274/1000 - Epsilon: 0.0100, Overall Total Reward: 585
Episode 275/1000 - Epsilon: 0.0100, Overall Total Reward: 755
Episode 276/1000 - Epsilon: 0.0100, Overall Total Reward: 585
Episode 277/1000 - Epsilon: 0.0100, Overall Total Reward: 985
Episode 278/1000 - Epsilon: 0.0100, Overall Total Reward: 990
Episode 279/1000 - Epsilon: 0.0100, Overall Total Reward: 955
Episode 280/1000 - Epsilon: 0.0100, Overall Total Reward: 645
Episode 281/1000 - Epsilon: 0.0100, Overall Total Reward: 475
Episode 282/1000 - Epsilon: 0.0100, Overall Total Reward: 560
Episode 283/1000 - Epsilon: 0.0100, Overall Total Reward: 690
Episode 284/1000 - Epsilon: 0.0100, Overall Total Reward: 680
